Category,Name,Phone,Google Maps URL,Website,email,Business Status,Address,Total Reviews,Booking Links,Rating,Hours
,Silver Birches,+1 570-226-4388,https://www.google.com/maps/place/Silver+Birches/data=!4m10!3m9!1s0x89c4b06cd1fb2cf5:0xfe5a16d0cca9b856!5m2!4m1!1i2!8m2!3d41.4319041!4d-75.1803465!16s%2Fg%2F1tdbgcq5!19sChIJ9Sz70WywxIkRVripzNAWWv4?authuser=0&hl=en&rclk=1,http://www.silverbirchesresortpa.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,"forms@tambourine.com, info@silverbirchesresortpa.com",,"205 PA-507, Hawley, PA 18428, United States",(974),,4.4,
,Four Seasons Hotel Philadelphia at Comcast Center,+1 215-419-5000,"https://www.google.com/maps/place/Four+Seasons+Hotel+Philadelphia+at+Comcast+Center/@39.955014,-75.1709561,17z/data=!3m1!4b1!4m9!3m8!1s0x89c6c633b0fb45df:0xd7222e61f50d95f1!5m2!4m1!1i2!8m2!3d39.955014!4d-75.1709561!16s%2Fg%2F1tds7nkh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",https://www.fourseasons.com/philadelphia/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-phi-hre-mid-seo-na&utm_content=na-na&utm_term=na,,,"One N 19th St, Philadelphia, PA 19103, United States","(1,022)",,4.7,
,DoubleTree Resort by Hilton Hotel Lancaster,+1 717-464-2711,https://www.hilton.com/en/hotels/lnswvdt-doubletree-resort-lancaster/?SEO_id=GMB-AMER-DT-LNSWVDT&y_source=1_MTM3MjczNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.hilton.com/en/hotels/lnswvdt-doubletree-resort-lancaster/?SEO_id=GMB-AMER-DT-LNSWVDT&y_source=1_MTM3MjczNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,LNSWV_DT_Hotel@hilton.com,,"2400 Willow Street Pike, Lancaster, PA 17602, United States","(2,117)",,4.4,
,The Inn At Leola Village - A Historic Hotel of America,+1 717-656-7002,https://www.theinnatleolavillage.com//Contact/,https://www.theinnatleolavillage.com/en/,,,"38 Deborah Dr, Leola, PA 17540, United States","(1,286)",,4.5,
,City Hall Grand Hotel,+1 570-215-2810,https://www.google.com/maps/place/City+Hall+Grand+Hotel/data=!4m10!3m9!1s0x89cfa618c9522d6b:0x92cd0f5488670989!5m2!4m1!1i2!8m2!3d41.24256!4d-77.0037167!16s%2Fg%2F11c4c4t1z5!19sChIJay1SyRimz4kRiQlniFQPzZI?authuser=0&hl=en&rclk=1,http://www.cityhallgrandhotel.com/,info@cityhallventures.com,,"454 Pine St, Williamsport, PA 17701, United States",(424),,4.7,
,Allenberry,+1 717-258-3211,https://allenberry.com/,http://www.allenberry.com/,info@allenberry.com,,"1559 Boiling Springs Rd, Boiling Springs, PA 17007, United States",(789),,4.5,
,Holiday Inn Nyc - Lower East Side by IHG,+1 212-475-2500,https://www.ihg.com/holidayinn/hotels/us/en/new-york/nyces/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-NYCES,https://www.ihg.com/holidayinn/hotels/us/en/new-york/nyces/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-NYCES,"julia.boyd@ihg.com, stacy.campbell@ihg.com, debra.wang@ihg.com, agne.blyth@ihg.com, guestservices@hinyces.com, ches.eaton@ihg.com, whitney.engelke@ihg.com, christine.lee@ihg.com",,"150 Delancey St, New York, NY 10002, United States",(940),,4.1,
,Home2 Suites by Hilton East Hanover,+1 973-887-0037,"https://www.google.com/maps/place/Home2+Suites+by+Hilton+East+Hanover/@40.8097035,-74.3794632,17z/data=!3m1!4b1!4m9!3m8!1s0x89c3a995b644ad8d:0xd002c33fa8c54341!5m2!4m1!1i2!8m2!3d40.8097035!4d-74.3794632!16s%2Fg%2F11nx238trg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",https://www.hilton.com/en/hotels/ewrehht-home2-suites-east-hanover/?SEO_id=GMB-AMER-HT-EWREHHT&y_source=1_MjUwNTkxMjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,"170 NJ-10, East Hanover, NJ 07936, United States",(308),,4.2,
,Pocono Plaza Inn,,https://www.google.com/maps/place/Pocono+Plaza+Inn/data=!4m10!3m9!1s0x89c489b78c458e0d:0x2d14a6e0644822f1!5m2!4m1!1i2!8m2!3d40.98357!4d-75.2124786!16s%2Fg%2F11gdht0rhz!19sChIJDY5FjLeJxIkR8SJIZOCmFC0?authuser=0&hl=en&rclk=1,,,,"1220 W Main St, Stroudsburg, PA 18360, United States",(430),,3.0,
,City Hall Grand Hotel,+1 570-215-2810,https://www.google.com/maps/place/City+Hall+Grand+Hotel/data=!4m10!3m9!1s0x89cfa618c9522d6b:0x92cd0f5488670989!5m2!4m1!1i2!8m2!3d41.24256!4d-77.0037167!16s%2Fg%2F11c4c4t1z5!19sChIJay1SyRimz4kRiQlniFQPzZI?authuser=0&hl=en&rclk=1,http://www.cityhallgrandhotel.com/,info@cityhallventures.com,,"454 Pine St, Williamsport, PA 17701, United States",(424),,4.7,
,Glasbern - A Historic Hotel of America,+1 610-285-4723,https://www.google.com/maps/place/Glasbern+-+A+Historic+Hotel+of+America/data=!4m10!3m9!1s0x89c433a564cbc165:0xcf9fec6f1c80f5f2!5m2!4m1!1i2!8m2!3d40.593175!4d-75.657911!16s%2Fg%2F1thbxm7t!19sChIJZcHLZKUzxIkR8vWAHG_sn88?authuser=0&hl=en&rclk=1,https://www.glasbern.com/,innkeeper@glasbern.com,,"2141 Packhouse Rd, Fogelsville, PA 18051, United States",(926),,4.6,
,Bridgeton House on the Delaware,+1 610-982-5856,https://www.google.com/maps/place/Bridgeton+House+on+the+Delaware/data=!4m10!3m9!1s0x89c40c3416fe95d7:0xcd899bfaa1e9e06c!5m2!4m1!1i2!8m2!3d40.565382!4d-75.099398!16s%2Fg%2F1thxx4t6!19sChIJ15X-FjQMxIkRbODpofqbic0?authuser=0&hl=en&rclk=1,https://www.bridgetonhouse.com/?utm_source=google&utm_medium=organic&utm_campaign=+googlemybusiness,innkeeper@bridgetonhouse.com,,"1525 River Rd, Upper Black Eddy, PA 18972, United States",(236),,4.8,
,Inn of the Dove at Bensalem-Jacuzzi & Fireplace Suites,+1 215-638-3683 ext. 1,https://www.google.com/maps/place/Inn+of+the+Dove+at+Bensalem-Jacuzzi+%26+Fireplace+Suites/data=!4m10!3m9!1s0x89c6b2acd425eaa9:0x7ce2419277821959!5m2!4m1!1i2!8m2!3d40.1267453!4d-74.9672226!16s%2Fg%2F1v_z58dk!19sChIJqeol1KyyxokRWRmCd5JB4nw?authuser=0&hl=en&rclk=1,https://www.dovesuites.com/,info@dovesuites.com,,"3901 Old Street Rd, Bensalem, PA 19020, United States","(1,188)",,4.0,
,Ledges Hotel,+1 570-226-1337,https://www.google.com/maps/place/Ledges+Hotel/data=!4m10!3m9!1s0x89c4b1cea6258577:0x99d84b67f06f2ecf!5m2!4m1!1i2!8m2!3d41.4722253!4d-75.171456!16s%2Fg%2F11gnrlykhr!19sChIJd4Ulps6xxIkRzy5v8GdL2Jk?authuser=0&hl=en&rclk=1,https://ledgeshotel.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,"info@ledgeshotel.com, forms@tambourine.com",,"119 Falls Ave, Hawley, PA 18428, United States",(669),,4.5,
,Lake Harmony Inn,+1 570-722-0522,https://www.google.com/maps/place/Lake+Harmony+Inn/data=!4m10!3m9!1s0x89c4f925f5fd2a53:0x42281feabc6e33f4!5m2!4m1!1i2!8m2!3d41.061094!4d-75.591907!16s%2Fg%2F1v2jdw0x!19sChIJUyr99SX5xIkR9DNuvOofKEI?authuser=0&hl=en&rclk=1,http://lakeharmonyinn.com/,lakeharmonyinn@gmail.com,,"37 N Lake Dr, Lake Harmony, PA 18624, United States",(258),,4.6,
,Smith House Inn,+1 814-395-2642,https://www.google.com/maps/place/Smith+House+Inn/data=!4m10!3m9!1s0x89cab55c86ab469f:0xbd9c416acc485152!5m2!4m1!1i2!8m2!3d39.8117099!4d-79.3629501!16s%2Fg%2F11clymssqn!19sChIJn0arhly1yokRUlFIzGpBnL0?authuser=0&hl=en&rclk=1,http://www.smithhouseinn.com/,innkeeper@smithhouseinn.com,,"420 Sterner St, Confluence, PA 15424, United States",(51),,4.9,
,Hotel Fauchère,+1 570-409-1212,https://hotelfauchere.com/,https://hotelfauchere.com/,info@hotelfauchere.com,,"401 Broad St, Milford, PA 18337, United States",(499),,4.5,
,Woodfield Manor,+1 570-895-4401,https://woodfieldmanor.com/contact/,http://www.woodfieldmanor.com/,"gm@woodfieldmanor.com, guestservices@woodfieldmanor.com, jmerli@woodfieldmanor.com, cdickinson@woodfieldmanor.com",,"472 Red Rock Rd, Cresco, PA 18326, United States",(243),,4.7,
,Hartman Center Campground and Retreat,+1 570-217-0592,https://www.google.com/maps/place/Hartman+Center+Campground+and+Retreat/data=!4m10!3m9!1s0x89ceb65ae231321d:0xbdc2ea38cb2390bf!5m2!4m1!1i2!8m2!3d40.719298!4d-77.5971896!16s%2Fg%2F1tfpqnxb!19sChIJHTIx4lq2zokRv5Ajyzjqwr0?authuser=0&hl=en&rclk=1,https://hartmancentercampground.com/,"info@freestoneinn.com, hartmancentercampground@gmail.com",,"5725 Old US Hwy 322, Milroy, PA 17063, United States",(177),,5.0,
,Foxburg Inn Hotel,+1 724-659-3116,https://foxburginn.com/contact-us/,http://www.foxburginn.com/,info@foxburginn.com,,"20 Main St, Foxburg, PA 16036, United States",(277),,4.6,
,New Hope Lodge,+1 215-862-2737,https://www.google.com/maps/place/New+Hope+Lodge/data=!4m10!3m9!1s0x89c3ff4e93701725:0xc27e7c316d7c697!5m2!4m1!1i2!8m2!3d40.3624687!4d-74.9688262!16s%2Fg%2F119tmfc76!19sChIJJRdwk07_w4kRl8bXFsPnJww?authuser=0&hl=en&rclk=1,https://newhopelodge.com/,"Newhopelodgepa@gmail.com, user@domain.com, newhopelodge@gmail.com, newhopelodgepa@gmail.com",,"400 W Bridge St, New Hope, PA 18938, United States",(183),,4.2,
,East Shore Lodging,+1 570-226-3293,https://eastshorelodging.com/contact-us/,http://www.eastshorelodging.com/,info@eastshorelodging.com,,"2487 US-6, Hawley, PA 18428, United States",(269),,4.9,
,Penns Woods Inn,+1 717-665-2755,https://pennswoodsinn.com/contact-us/,http://www.pennswoodsinn.com/,,,"2931 Lebanon Rd, Manheim, PA 17545, United States",(187),,2.7,
,Wyndham Lancaster Resort and Convention Center,+1 717-299-5500,https://www.google.com/maps/place/Wyndham+Lancaster+Resort+and+Convention+Center/data=!4m10!3m9!1s0x89c63bf98b17ae9b:0xeff6ab742326c5db!5m2!4m1!1i2!8m2!3d40.0249382!4d-76.2134275!16s%2Fg%2F11fjqz0w1b!19sChIJm64Xi_k7xokR28UmI3Sr9u8?authuser=0&hl=en&rclk=1,https://www.wyndhamhotels.com/wyndham/lancaster-pennsylvania/wyndham-lancaster-resort-and-convention-center/overview?CID=LC:46q62bu8edfbx3y:50550&iata=00093796,accessibility@wyndham.com,,"2300 Lincoln Hwy E, Lancaster, PA 17602, United States","(1,873)",,3.4,
,Hotel Warner,+1 610-692-6920,https://www.google.com/maps/place/Hotel+Warner/data=!4m10!3m9!1s0x89c6f1442eda07e3:0x7931f183a34e8c8!5m2!4m1!1i2!8m2!3d39.9610069!4d-75.6058647!16s%2Fg%2F1tdc65mb!19sChIJ4wfaLkTxxokRyOg0Ohgfkwc?authuser=0&hl=en&rclk=1,http://www.hotelwarner.com/,"gm@hotelwarner.com, Sales@HotelWarner.com, reservations@hotelwarner.com, ngm@hotelwarner.com, sales@hotelwarner.com",,"120 N High St, West Chester, PA 19380, United States",(464),,4.3,
,"Inn of the Dove -""Romantic Jacuzzi, Theme & Pool Suites"" Harrisburg-Hershey",+1 717-540-5540,"https://www.google.com/maps/place/Inn+of+the+Dove+-%22Romantic+Jacuzzi,+Theme+%26+Pool+Suites%22+Harrisburg-Hershey/@40.3071958,-76.8541908,17z/data=!3m1!4b1!4m9!3m8!1s0x89c8c73e0c250f81:0xb609316b8112d1f1!5m2!4m1!1i2!8m2!3d40.3071958!4d-76.8541908!16s%2Fg%2F11zrrbclg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",http://innofthedovehotel.com/,info@innofthedovehotel.com,,"2225 Kohn Rd, Harrisburg, PA 17110, United States",(394),,4.5,
,Hampton Inn Matamoras/Milford,+1 570-491-5280,https://www.hilton.com/en/hotels/scrmahx-hampton-matamoras-milford/?SEO_id=GMB-AMER-HX-SCRMAHX&y_source=1_MjA4MjE3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.hilton.com/en/hotels/scrmahx-hampton-matamoras-milford/?SEO_id=GMB-AMER-HX-SCRMAHX&y_source=1_MjA4MjE3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,SCRMA_hampton@hilton.com,,"122 Westfall Town Dr, Matamoras, PA 18336, United States","(1,077)",,4.2,
,Traveler's Rest Hotel,+1 412-623-9343,https://www.google.com/maps/place/Traveler%27s+Rest+Hotel/data=!4m10!3m9!1s0x8834f144217a235b:0xf4a200064295607f!5m2!4m1!1i2!8m2!3d40.4292155!4d-79.9935116!16s%2Fg%2F11bwg18bfy!19sChIJWyN6IUTxNIgRf2CVQgYAovQ?authuser=0&hl=en&rclk=1,http://www.sstrpgh.com/,"INFO@SSTRPGH.COM, info@sstrpgh.com",,"27 S 6th St, Pittsburgh, PA 15203, United States",(296),,5.0,
,The Sayre Mansion,+1 610-882-2100,https://www.google.com/maps/place/The+Sayre+Mansion/data=!4m10!3m9!1s0x89c43e5ed0c7fa69:0xf98f1b5ffadbc9c6!5m2!4m1!1i2!8m2!3d40.6122028!4d-75.3845102!16s%2Fg%2F1tfkm3gm!19sChIJafrH0F4-xIkRxsnb-l8bj_k?authuser=0&hl=en&rclk=1,http://sayremansion.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,"innkeeper@sayremansion.com, forms@tambourine.com",,"250 Wyandotte St, Bethlehem, PA 18015, United States",(351),,4.6,
,Inn At Tyler Hill,+1 570-224-1131,https://www.google.com/maps/place/Inn+At+Tyler+Hill/data=!4m10!3m9!1s0x89db51153ec23959:0xf2bf703b72e51844!5m2!4m1!1i2!8m2!3d41.6925728!4d-75.118516!16s%2Fg%2F11f62fylft!19sChIJWTnCPhVR24kRRBjlcjtwv_I?authuser=0&hl=en&rclk=1,https://www.innattylerhill.com/,Stay@innattylerhill.com,,"1221 Cochecton Turnpike, Tyler Hill, PA 18469, United States",(46),,4.7,
,Woodfield Manor,+1 570-895-4401,https://woodfieldmanor.com/contact/,http://www.woodfieldmanor.com/,"gm@woodfieldmanor.com, guestservices@woodfieldmanor.com, jmerli@woodfieldmanor.com, cdickinson@woodfieldmanor.com",,"472 Red Rock Rd, Cresco, PA 18326, United States",(243),,4.7,
,Golden Plough Inn at Peddler's Village,+1 215-794-4004,"https://www.google.com/maps/place/Golden+Plough+Inn+at+Peddler's+Village/@40.3471428,-75.0302324,17z/data=!3m1!4b1!4m9!3m8!1s0x89c401092db60d75:0x826921ea52254c30!5m2!4m1!1i2!8m2!3d40.3471428!4d-75.0302324!16s%2Fg%2F1tdz0xb0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",http://www.goldenploughinn.com/,lodging@peddlersvillage.com,,"5886 Lower York Rd, New Hope, PA 18938, United States",(511),,4.2,
,Victorian Charm Inn,+1 570-265-4452,https://www.google.com/maps/place/Victorian+Charm+Inn/data=!4m10!3m9!1s0x89daaa9009f8931f:0x47b60f73ea573332!5m2!4m1!1i2!8m2!3d41.7740087!4d-76.4443688!16s%2Fg%2F1v29d06d!19sChIJH5P4CZCq2okRMjNX6nMPtkc?authuser=0&hl=en&rclk=1,http://www.thevictoriancharminn.com/,victoriancharminntowanda@gmail.com,,"118 York Ave, Towanda, PA 18848, United States",(128),,4.7,
,Hartman Center Campground and Retreat,+1 570-217-0592,https://www.google.com/maps/place/Hartman+Center+Campground+and+Retreat/data=!4m10!3m9!1s0x89ceb65ae231321d:0xbdc2ea38cb2390bf!5m2!4m1!1i2!8m2!3d40.719298!4d-77.5971896!16s%2Fg%2F1tfpqnxb!19sChIJHTIx4lq2zokRv5Ajyzjqwr0?authuser=0&hl=en&rclk=1,https://hartmancentercampground.com/,"info@freestoneinn.com, hartmancentercampground@gmail.com",,"5725 Old US Hwy 322, Milroy, PA 17063, United States",(177),,5.0,
,Foxburg Inn Hotel,+1 724-659-3116,https://foxburginn.com/contact-us/,http://www.foxburginn.com/,info@foxburginn.com,,"20 Main St, Foxburg, PA 16036, United States",(277),,4.6,
,New Hope Lodge,+1 215-862-2737,https://www.google.com/maps/place/New+Hope+Lodge/data=!4m10!3m9!1s0x89c3ff4e93701725:0xc27e7c316d7c697!5m2!4m1!1i2!8m2!3d40.3624687!4d-74.9688262!16s%2Fg%2F119tmfc76!19sChIJJRdwk07_w4kRl8bXFsPnJww?authuser=0&hl=en&rclk=1,https://newhopelodge.com/,"Newhopelodgepa@gmail.com, user@domain.com, newhopelodge@gmail.com, newhopelodgepa@gmail.com",,"400 W Bridge St, New Hope, PA 18938, United States",(183),,4.2,
,East Shore Lodging,+1 570-226-3293,https://eastshorelodging.com/contact-us/,http://www.eastshorelodging.com/,info@eastshorelodging.com,,"2487 US-6, Hawley, PA 18428, United States",(269),,4.9,
,Hilltop Inn,+1 412-922-0120,https://www.hotels-pittsburgh.com/en/Contact/,http://hilltop-inn.hotels-pittsburgh.com/en/,,,"100 Kisow Dr, Pittsburgh, PA 15205, United States",(739),,2.5,
,Glenwood Inn & Conference Center,+1 570-476-0010,https://www.google.com/maps/place/Glenwood+Inn+%26+Conference+Center/data=!4m10!3m9!1s0x89c487d11abe4809:0x338f5e24bfb52e55!5m2!4m1!1i2!8m2!3d40.9854553!4d-75.1478598!16s%2Fg%2F1tgh3y84!19sChIJCUi-GtGHxIkRVS61vyRejzM?authuser=0&hl=en&rclk=1,,,,"167 Main St, Delaware Water Gap, PA 18327, United States",(139),,3.9,
,The Ohiopyle Suites,+1 724-329-8850,"https://www.google.com/maps/place/The+Ohiopyle+Suites/@39.8692266,-79.492004,17z/data=!3m1!4b1!4m9!3m8!1s0x8835366084f65981:0x17b20f9b754478f6!5m2!4m1!1i2!8m2!3d39.8692266!4d-79.492004!16s%2Fg%2F11bycfwgz8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",http://www.ohiopylesuites.com/,info@wwaraft.com,,"28 Sherman St, Ohiopyle, PA 15470, United States",(86),,4.2,
,Penns Woods Inn,+1 717-665-2755,https://pennswoodsinn.com/contact-us/,http://www.pennswoodsinn.com/,,,"2931 Lebanon Rd, Manheim, PA 17545, United States",(187),,2.7,
,Wyndham Lancaster Resort and Convention Center,+1 717-299-5500,https://www.google.com/maps/place/Wyndham+Lancaster+Resort+and+Convention+Center/data=!4m10!3m9!1s0x89c63bf98b17ae9b:0xeff6ab742326c5db!5m2!4m1!1i2!8m2!3d40.0249382!4d-76.2134275!16s%2Fg%2F11fjqz0w1b!19sChIJm64Xi_k7xokR28UmI3Sr9u8?authuser=0&hl=en&rclk=1,https://www.wyndhamhotels.com/wyndham/lancaster-pennsylvania/wyndham-lancaster-resort-and-convention-center/overview?CID=LC:46q62bu8edfbx3y:50550&iata=00093796,accessibility@wyndham.com,,"2300 Lincoln Hwy E, Lancaster, PA 17602, United States","(1,873)",,3.4,
,Mountain View Suites,+1 570-249-7022,https://www.google.com/maps/place/Mountain+View+Suites/data=!4m10!3m9!1s0x89c5ad5bdee43749:0x81cd9fb4972749c!5m2!4m1!1i2!8m2!3d40.875462!4d-75.7297709!16s%2Fg%2F11dzdh3vyb!19sChIJSTfk3lutxYkRnHRySfvZHAg?authuser=0&hl=en&rclk=1,http://www.mountainviewsuite.com/,"8c4075d5481d476e945486754f783364@sentry.io, mountainviewsuites@gmail.com",,"626 Center St, Jim Thorpe, PA 18229, United States",(89),,3.5,
,Hotel Warner,+1 610-692-6920,https://www.google.com/maps/place/Hotel+Warner/data=!4m10!3m9!1s0x89c6f1442eda07e3:0x7931f183a34e8c8!5m2!4m1!1i2!8m2!3d39.9610069!4d-75.6058647!16s%2Fg%2F1tdc65mb!19sChIJ4wfaLkTxxokRyOg0Ohgfkwc?authuser=0&hl=en&rclk=1,http://www.hotelwarner.com/,"gm@hotelwarner.com, Sales@HotelWarner.com, reservations@hotelwarner.com, ngm@hotelwarner.com, sales@hotelwarner.com",,"120 N High St, West Chester, PA 19380, United States",(464),,4.3,
,The Lodge at Lykens Valley,+1 717-692-3421,https://lodgelykensvalley.com/contact-us/,http://lodgelykensvalley.com/,,,"1940 PA-25, Millersburg, PA 17061, United States",(86),,4.5,
,"Inn of the Dove -""Romantic Jacuzzi, Theme & Pool Suites"" Harrisburg-Hershey",+1 717-540-5540,"https://www.google.com/maps/place/Inn+of+the+Dove+-%22Romantic+Jacuzzi,+Theme+%26+Pool+Suites%22+Harrisburg-Hershey/data=!4m10!3m9!1s0x89c8c73e0c250f81:0xb609316b8112d1f1!5m2!4m1!1i2!8m2!3d40.3071958!4d-76.8541908!16s%2Fg%2F11zrrbclg!19sChIJgQ8lDD7HyIkR8dESgWsxCbY?authuser=0&hl=en&rclk=1",http://innofthedovehotel.com/,info@innofthedovehotel.com,,"2225 Kohn Rd, Harrisburg, PA 17110, United States",(394),,4.5,
,Historic Hotel Bethlehem,+1 833-247-5891,https://www.google.com/maps/place/Historic+Hotel+Bethlehem/data=!4m10!3m9!1s0x89c43e56d4fd369d:0x4e47ba8ee77380fb!5m2!4m1!1i2!8m2!3d40.6201393!4d-75.3822028!16s%2Fg%2F1tdf29c2!19sChIJnTb91FY-xIkR-4Bz5466R04?authuser=0&hl=en&rclk=1,https://www.hotelbethlehem.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,"forms@tambourine.com, info@hotelbethlehem.com",,"Hotel Bethlehem, 437 Main St, Bethlehem, PA 18018, United States","(2,648)",,4.6,
